epoch,error,accuracy
0,0,87.5561
1,8.65662,91.982
2,5.78711,93.1366
3,3.86342,93.5215
4,2.67714,93.3291
5,2.03591,93.3932
6,1.60308,93.4573
7,1.18628,93.5215
8,0.929785,93.5856
9,0.753447,93.6498
10,0.673293,93.4573
11,0.641231,93.3932
12,0.4168,93.3291
13,0.336646,93.2008
14,0.304585,93.2649
15,0.304585,93.2008
"epochs: 15, levels: 100, dimensions: 5000, frequency points: 617"
