epoch,error,accuracy
0,0,88.1976
1,8.64059,91.7896
2,5.78711,93.2008
3,4.18403,93.2649
4,2.96569,93.4573
5,2.22828,93.5215
6,1.81148,93.5856
7,1.44277,93.7781
8,1.07406,93.7781
9,0.913754,93.8422
10,0.689323,93.6498
11,0.529016,93.5215
12,0.512985,93.5215
13,0.400769,93.3291
14,0.432831,93.3291
15,0.352677,93.4573
"epochs: 15, levels: 100, dimensions: 5000, frequency points: 617"
