epoch,error,accuracy
0,0,86.7864
1,9.82687,90.3143
2,6.78102,90.635
3,4.92145,91.8538
4,3.76723,91.9179
5,2.80539,91.7896
6,1.97179,92.0462
7,1.76339,92.3028
8,1.44277,92.3669
9,1.28246,92.1103
10,1.13819,92.3028
11,0.929785,92.1745
12,0.753447,92.0462
13,0.81757,92.0462
14,0.545046,92.1103
15,0.400769,92.0462
"epochs: 15, levels: 100, dimensions: 1000, frequency points: 617"
