epoch,error,accuracy
0,0,88.1334
1,8.46425,91.533
2,5.70696,92.6235
3,3.99166,93.3291
4,2.75729,93.2649
5,2.11606,93.3932
6,1.58705,93.5856
7,1.34659,93.5215
8,1.09009,93.5215
9,0.801539,93.5856
10,0.705354,93.5215
11,0.737416,93.3932
12,0.496954,93.5856
13,0.384739,93.5856
14,0.352677,93.6498
15,0.304585,93.6498
"epochs: 15, levels: 100, dimensions: 15000, frequency points: 617"
