epoch,error,accuracy
0,0,85.8884
1,10.3399,89.4163
2,7.32607,90.635
3,5.80314,90.8916
4,4.29625,91.2765
5,3.51074,90.7633
6,2.90157,90.9557
7,2.34049,90.8275
8,1.79545,91.1482
9,1.44277,91.084
10,1.10612,91.2123
11,1.07406,91.2765
12,0.897724,91.1482
13,0.689323,91.1482
14,0.60917,90.8916
15,0.60917,90.9557
"epochs: 15, levels: 100, dimensions: 500, frequency points: 617"
