epoch,error,accuracy
0,0,88.5824
1,8.56044,91.8538
2,5.61077,92.5593
3,3.92754,93.3932
4,3.04585,93.3932
5,2.16416,93.3932
6,1.76339,93.3932
7,1.39468,93.3291
8,1.29849,93.3932
9,0.897724,93.3932
10,0.60917,93.2649
11,0.641231,93.2649
12,0.512985,93.2649
13,0.432831,93.3291
14,0.352677,93.3291
15,0.224431,93.2649
"epochs: 15, levels: 100, dimensions: 10000, frequency points: 617"
